,korea_hnb.qty
korea_hnb.qty,1.0
월리와함께하는왓슨스팤세일,0.44921435743311616
왓슨스와함께하는끝내주는SALE,0.4388356115021649
환상의나라왓슨스팤세일,0.3080831980502992
왓슨스데이능력자모여라,0.26923421273824244
취향저격쇼핑만족,0.2514854424598496
케이뱅크체크카드로2만원이상결제시5000원캐시백,0.23476108977456656
슈퍼왓슨스데이,0.21006366188186176
UPTO50,0.14010485839384884
이런마스크팩은처음이지?,0.12543325254654195
계탄피부GET하시게,0.12543325254654195
슈퍼왓슨스데이.1,0.09914610246382723
2017년뷰티오리엔테이션,0.08176308636504968
새로워진ALLNEW왓슨스데이,0.08053115688586714
TAKEYOURLOVE,0.07407278306475829
왓슨스데이.2,0.0715928077512044
