"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"(Intercept)",428.050531455727,396.484642051752,3151.8656362115,637.700806244723,330.75609124975,95.5052712657402,77.6934279388689,274.630626621284,226.998212284926,103.101186479884
"promo_day_cnt",30.7174713882109,21.6647694571229,299.692884134556,10.9486243058835,15.6577727147219,17.8756057996399,6.76800718317373,20.6120214123409,5.95343501872354,2.55105365497762
"promo_ssn_cnt",9.38177471603063,4.78650185255849,88.1557804084376,17.3737170041127,5.35337446368361,3.24777784435117,6.63516098967984,20.9767747179672,56.7569068697268,-1.4154148873228
"promo_disc_cnt",36.6235283500859,32.1906838732069,358.211177280291,43.6173805576686,16.0814117294865,22.6400045172995,11.443465047574,18.5922236598591,21.9530514645492,9.71702329727132
"promo_co_cnt",-2.91951367673336,-5.76129586152581,-24.4900543205927,38.5658520762115,-11.3439681378522,1.45235235406215,-7.64537104081926,42.5733256121304,-24.6697297628197,-2.14983909345027
"avg_temp",-1.02386712896441,1.54916449473198,10.8645911337089,1.64824339404403,-0.873111248096059,2.48781392374096,1.18199138488693,3.82064900063231,-2.72988155892972,0.682931871249424
"ilgyo",-1.66584444354801,-1.31168730901457,-12.7588918073027,1.58158401356671,0.934939270861365,-1.52875353824548,-1.03942192537235,-3.06411019458048,0.329689533243707,-1.2210774155797
"avg_rhm",0.623270091575719,0.113263244806753,2.87657267328052,-0.141479843760994,0.162542822385709,0.20001880321662,0.101786295250578,0.0229038354272747,0.307169351694882,0.154627148559363
"pm10",0.0519955793492912,0.0105943524696123,-0.58469890206092,-0.298694090172136,-0.111597185667051,0.110428153724471,0.0410907495936842,-0.221436260062044,0.105671279981733,-0.0299073939113089
"sun",-0.271510949293354,0.486793057732672,6.92586839348278,-2.60488093553707,-3.25115445933905,4.90294969809623,1.46417003100177,1.06046489480492,2.39545783218902,1.11249221380018
"cloud",-2.78608724869472,-1.05962303760873,-9.81656918372258,-5.2901515711153,-4.86685231891355,2.20004906457222,0.874018045513977,-2.22198300727906,-2.23629692892023,-0.915297507036632
"area_10",-250.796914773229,-244.342759901507,-2025.83681520494,-335.984987801727,-144.224838556522,-122.228056274888,-58.8795700508208,-199.32961876779,-157.683978706221,-52.6892988928545
"area_20",-181.771452635453,-193.54469727502,-1484.40046763689,-229.233842363508,-105.573738044764,-94.4727670320242,-45.5530407904247,-168.362098894927,-122.253512096196,-42.0114582633049
"서울특별시.서초구",-128.814582012021,-134.260472364064,-881.982112331679,-174.186446721361,-53.9832915121611,-66.6894169615869,-32.7221681556333,-119.307751052064,-78.1574086447863,-18.808014836951
"경기도.부천시",-102.566603061637,-98.4654440650401,-907.848009883886,-126.847333070439,-44.4296660238973,-51.9073122894572,-17.1999794687281,-116.41221719614,-56.9192711851082,-14.1410089096844
"경기도.안양시",-93.3362761268282,-103.459561219297,-860.182586996673,-130.605173807708,-52.4802522667043,-46.1842012468355,-17.5813780044049,-115.485667551047,-72.4608597264083,-24.9417214497031
"경기도.군포시",-112.307955009045,-91.3057981832857,-897.132073415951,-148.84965470574,-50.4916641805321,-49.7521217625554,-17.261847783658,-95.2830253366016,-68.6962507337971,-21.5255322136407
"서울특별시.서대문구",-67.1815818766159,-99.7418568366937,-603.769536333268,4.70929674395622,-30.8423155546065,-18.3137154800174,-15.8358378894931,-115.139835907043,-45.6155097464282,14.887416523978
"서울특별시.동작구",-56.7202562432654,-63.0714644206528,-533.684679314952,-122.395510710668,-16.4933519670605,-27.4091158602941,-15.070435681033,-116.936615216888,-27.2345710538303,-19.0704809368459
"서울특별시.관악구",122.53458297823,6.99199333975927,-477.306823952518,-95.1989560660382,-33.294417617308,-21.1408118899265,-12.076642309811,-96.5313645914225,-2.7726461630155,41.206875846811
"서울특별시.광진구",-33.4848146253739,-51.4726743157197,-270.229833937342,-51.8767027542672,-5.65223691560926,-4.05916642976863,-4.98330454940394,-71.7369440576109,-32.8611078230941,0.480771069194056
"서울특별시.마포구",-34.8891854701826,-70.7504835956575,-222.147282606517,-36.6511742245614,11.2615112872768,-10.184922370366,-11.5344065702971,-91.167952457513,206.7921262843,10.0501408202585
"서울특별시.강서구",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gen_cd_M",-160.280076544417,-157.258416955193,-1452.95746734832,-256.241786009363,-107.064705617325,-88.5611021379731,-41.9637462517225,-115.936665177579,-73.3537513247003,-39.6034981995932
"gen_cd_F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agegr_20_1",-249.176087276958,-223.754247187069,-2092.00174069768,-336.902159076067,-141.912869036755,-127.072373990422,-52.9645468977097,-153.486064375019,-149.471194076014,-57.5731390942223
"agegr_20_3",-155.014124818751,-152.75566097958,-1518.0344360697,-259.39575682292,-109.29712027934,-75.6390437599391,-43.236692949089,-94.6829070712296,-64.9124302847326,-36.7160810633483
"agegr_20_4",-240.742926082807,-210.074916666219,-1981.54096901093,-348.063015244018,-142.29664664307,-113.110564154809,-44.4506566400091,-141.307986383516,-141.072966884197,-28.456399278995
"agegr_20_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
